bookrow_id,bookstoreid,storeid,storenumber,storedisplayname,termid,termname,termnumber,programid,programname,campusid,campusname,department,departmentname,division,divisionname,courseid,coursename,section,sectionname,instructor,schoolname,cmid,mtcid,bookimage,title,edition,author,isbn,materialtype,requirementtype,publisher,publishercode,publisherDate,productcatentryid,copyrightyear,pricerangedisplay,booklink,store_url,user_guid,course_codes,created_on,last_updated_on
,2681,B00082,,Westmoreland County Community College Official Bookstore,143509,FALL 2022,,,,,,,ACC,,,,120,4486590,WA,,Westmoreland County Community College Official Bookstore,,,//simages.ecampus.com/images/access-card-only.jpg,COMPUTER ACCOUNTING WITH QUICKBOOKS: A CLOUD BASED APPROACH,CUSTOM,MCGRAW HILL,9781264523016,,REQUIRED,MCGRAWHILL,, ,,8/16/2022,114.18$,,https://westmoreland.ecampus.com/,,,2022-10-30 11:22:49,2022-10-30 11:22:49
,2681,B00082,,Westmoreland County Community College Official Bookstore,143509,FALL 2022,,,,,,,ACC,,,,155,4416399,05,,Westmoreland County Community College Official Bookstore,,,//simages.ecampus.com/images/custom.jpg,WCCC LOOSE-LEAF FUNDAMENTAL ACCOUNTING PRINCIPLES W/ CONNECT ACCESS,25TH,WILD,9781265475345,,REQUIRED,MCG,, ,,11/10/2020,143.73$,,https://westmoreland.ecampus.com/,,,2022-10-30 11:22:49,2022-10-30 11:22:49
,2681,B00082,,Westmoreland County Community College Official Bookstore,143509,FALL 2022,,,,,,,ACC,,,,155,4416400,13,,Westmoreland County Community College Official Bookstore,,,//simages.ecampus.com/images/custom.jpg,WCCC LOOSE-LEAF FUNDAMENTAL ACCOUNTING PRINCIPLES W/ CONNECT ACCESS,25TH,WILD,9781265475345,,REQUIRED,MCG,, ,,11/10/2020,143.73$,,https://westmoreland.ecampus.com/,,,2022-10-30 11:22:49,2022-10-30 11:22:49
,2681,B00082,,Westmoreland County Community College Official Bookstore,143509,FALL 2022,,,,,,,ACC,,,,155,4416401,WA,,Westmoreland County Community College Official Bookstore,,,//simages.ecampus.com/images/custom.jpg,WCCC LOOSE-LEAF FUNDAMENTAL ACCOUNTING PRINCIPLES W/ CONNECT ACCESS,25TH,WILD,9781265475345,,REQUIRED,MCG,, ,,11/10/2020,143.73$,,https://westmoreland.ecampus.com/,,,2022-10-30 11:22:49,2022-10-30 11:22:49
,2681,B00082,,Westmoreland County Community College Official Bookstore,143509,FALL 2022,,,,,,,ACC,,,,155,4635468,WB,,Westmoreland County Community College Official Bookstore,,,//simages.ecampus.com/images/custom.jpg,WCCC LOOSE-LEAF FUNDAMENTAL ACCOUNTING PRINCIPLES W/ CONNECT ACCESS,25TH,WILD,9781265475345,,REQUIRED,MCG,, ,,11/10/2020,143.73$,,https://westmoreland.ecampus.com/,,,2022-10-30 11:22:49,2022-10-30 11:22:49
,2681,B00082,,Westmoreland County Community College Official Bookstore,143509,FALL 2022,,,,,,,ACC,,,,156,4416402,03,,Westmoreland County Community College Official Bookstore,,,//simages.ecampus.com/images/custom.jpg,WCCC LOOSE-LEAF FUNDAMENTAL ACCOUNTING PRINCIPLES W/ CONNECT ACCESS,25TH,WILD,9781265475345,,REQUIRED,MCG,, ,,11/10/2020,143.73$,,https://westmoreland.ecampus.com/,,,2022-10-30 11:22:49,2022-10-30 11:22:49
